,year,date,all_2534,HS,SC,BAp_2534,Bao,GD_2534,White_2534,Black_2534,Hisp_2534,NE_2534,MA_2534,Midwest_2534,South_2534,Mountain_2534,Pacific_2534,age,poor,mid,rich,all_3544,HS_3544,SC_3544,BAp_3544,BAo_3544,GD_3544,White_3544,Black_3544,Hisp_3544,NE_3544,MA_3544,Midwest_3544,South_3544,Mountain_3544,Pacific_3544,poor_3544,mid_3544,rich_3544,all_4554,HS_4554,SC_4554,BAp_4554,BAo_4554,GD_4554,White_4554,Black_4554,Hisp_4554,NE_4554,MA_4554,Midwest_4554,South_4554,Mountain_4554,Pacific_4554,poor_4554,mid_4554,rich_4554,edu,work_2534,nowork_2534,work_edu,work_SC_2534,work_BAp_2534,work_BAo_2534,work_GD_2534,nowork_edu,nowork_SC_2534,nowork_BAp_2534,nowork_BAo_2534,nowork_GD_2534,work_White_2534,work_Black_2534,work_Hisp_2534,nowork_White_2534,nowork_Black_2534,nowork_Hisp_2534,work_poor_2534,work_mid_2534,work_rich_2534,nowork_poor_2534,nowork_mid_2534,nowork_rich_2534,nokids_all_2534,kids_all_2534,nokids_HS_2534,nokids_SC_2534,nokids_BAp_2534,nokids_BAo_2534,nokids_GD_2534,kids_HS_2534,kids_SC_2534,kids_BAp_2534,kids_BAo_2534,kids_GD_2534,nokids_poor_2534,nokids_mid_2534,nokids_rich_2534,kids_poor_2534,kids_mid_2534,kids_rich_2534
,1990,,,0.861898057,0.887022782,,0.868099082,,,,,,,,,,,3544,0.771311433,0.904501996,0.912110408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.71559234,,,,,0.53747489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,,0.80085741,0.838870836,,0.830607096,,,,,,,,,,,3544,0.684756119,0.858900585,0.88708215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.663536723,,,,,0.508158806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001,,,0.804928326,0.837658729,,0.832849678,,,,,,,,,,,3544,0.673181586,0.85390008,0.911461911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.653036911,,,,,0.500792491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002,,,0.805752166,0.829347001,,0.824246735,,,,,,,,,,,3544,0.674275607,0.84674063,0.910976676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.658805085,,,,,0.510106607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,,,0.804423136,0.82692604,,0.825779067,,,,,,,,,,,3544,0.675323167,0.846034173,0.911513833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.651453489,,,,,0.483958012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,,,0.792185933,0.826200504,,0.819197134,,,,,,,,,,,3544,0.656903249,0.841531989,0.911798497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.646521112,,,,,0.499906039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,,,0.789689838,0.822076173,,0.821758291,,,,,,,,,,,3544,0.657964926,0.836979406,0.9134723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.631669548,,,,,0.485392507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,,,0.748700285,0.805244847,,0.812564744,,,,,,,,,,,3544,0.64640895,0.824864619,0.846249599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.599140504,,,,,0.451951372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,,,0.744116158,0.800854242,,0.808570592,,,,,,,,,,,3544,0.636392107,0.821363331,0.847332129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.585663036,,,,,0.426303549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,,,0.733681786,0.793409136,,0.808140034,,,,,,,,,,,3544,0.629199721,0.814379208,0.844641964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.56595978,,,,,0.38464488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,,,0.72144514,0.790623912,,0.813073105,,,,,,,,,,,3544,0.613124457,0.812760368,0.845870122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.551133078,,,,,0.375129525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,,,0.717174892,0.782087564,,0.806619112,,,,,,,,,,,3544,0.613240208,0.804587135,0.847359421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.543518363,,,,,0.383669021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,,,0.706397724,0.779567782,,0.80978846,,,,,,,,,,,3544,0.603654967,0.802015257,0.847007018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.538494556,,,,,0.351288588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,0.698750841,0.769452607,,0.806940762,,,,,,,,,,,3544,0.594464048,0.794057375,0.845135043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.523341213,,,,,0.344399385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,,,0.923338815,0.94382953,,0.917465171,,,,,,,,,,,4554,0.880770191,0.95332791,0.917195624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.826131408,,,,,0.653924997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1970,,,0.931366188,0.951394244,,0.93585044,,,,,,,,,,,4554,0.879450534,0.959425611,0.943314504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.850194429,,,,,0.703418696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1980,,,0.938131427,0.948923265,,0.935907608,,,,,,,,,,,4554,0.878174,0.961757565,0.960482809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.77053223,,,,,0.593894542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,,,0.927942005,0.948962745,,0.936301721,,,,,,,,,,,4554,0.866927341,0.956428466,0.961352584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.638424861,,,,,0.451698114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,,0.887142615,0.914135772,,0.907314663,,,,,,,,,,,4554,0.799638061,0.930300123,0.952597989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.594160364,,,,,0.428460876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001,,,0.894496599,0.914333876,,0.905349315,,,,,,,,,,,4554,0.800674024,0.927553231,0.967647713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.592402482,,,,,0.439220901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002,,,0.887992576,0.905175311,,0.902368271,,,,,,,,,,,4554,0.785580313,0.92286848,0.965078613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.612978903,,,,,0.447742549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,,,0.882608189,0.902264102,,0.896141362,,,,,,,,,,,4554,0.775681242,0.919910295,0.965681927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.585647714,,,,,0.446435445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,,,0.879229486,0.901431851,,0.890677593,,,,,,,,,,,4554,0.772761747,0.913914342,0.964230751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.589102805,,,,,0.440910815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,,,0.868671836,0.893118162,,0.890262609,,,,,,,,,,,4554,0.7543166,0.909119662,0.964788668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.582691666,,,,,0.448315057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,,,0.838375363,0.879629841,,0.880381851,,,,,,,,,,,4554,0.737677236,0.900853287,0.917291016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.556825091,,,,,0.411102558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,,,0.836329796,0.875583184,,0.876535629,,,,,,,,,,,4554,0.732195715,0.898062185,0.915776611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.546833621,,,,,0.405433947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,,,0.821053293,0.868859394,,0.870485096,,,,,,,,,,,4554,0.717559475,0.890348986,0.911719663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.535488733,,,,,0.341627195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,,,0.814706862,0.860746975,,0.875191228,,,,,,,,,,,4554,0.704883642,0.887710151,0.906984322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.511412773,,,,,0.331357026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,,,0.80753433,0.858174688,,0.870449449,,,,,,,,,,,4554,0.702748443,0.876715687,0.910066104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.510856915,,,,,0.321399675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,,,0.800364413,0.854797085,,0.869994391,,,,,,,,,,,4554,0.692947452,0.873689121,0.907332996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.501958929,,,,,0.304473636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,0.801791069,0.852961999,,0.868943572,,,,,,,,,,,4554,0.698500602,0.872953498,0.905736167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.481228767,,,,,0.292088633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
