,year,date,all_2534,HS,SC,age,,BAp_2534,Bao,GD_2534,White_2534,Black_2534,Hisp_2534,NE_2534,MA_2534,Midwest_2534,South_2534,Mountain_2534,Pacific_2534,poor,mid,rich,all_3544,HS_3544,SC_3544,BAp_3544,BAo_3544,GD_3544,White_3544,Black_3544,Hisp_3544,NE_3544,MA_3544,Midwest_3544,South_3544,Mountain_3544,Pacific_3544,poor_3544,mid_3544,rich_3544,all_4554,HS_4554,SC_4554,BAp_4554,BAo_4554,GD_4554,White_4554,Black_4554,Hisp_4554,NE_4554,MA_4554,Midwest_4554,South_4554,Mountain_4554,Pacific_4554,poor_4554,mid_4554,rich_4554,edu,work_2534,nowork_2534,work_edu,work_SC_2534,work_BAp_2534,work_BAo_2534,work_GD_2534,nowork_edu,nowork_SC_2534,nowork_BAp_2534,nowork_BAo_2534,nowork_GD_2534,work_White_2534,work_Black_2534,work_Hisp_2534,nowork_White_2534,nowork_Black_2534,nowork_Hisp_2534,work_poor_2534,work_mid_2534,work_rich_2534,nowork_poor_2534,nowork_mid_2534,nowork_rich_2534,nokids_all_2534,kids_all_2534,nokids_HS_2534,nokids_SC_2534,nokids_BAp_2534,nokids_BAo_2534,nokids_GD_2534,kids_HS_2534,kids_SC_2534,kids_BAp_2534,kids_BAo_2534,kids_GD_2534,nokids_poor_2534,nokids_mid_2534,nokids_rich_2534,kids_poor_2534,kids_mid_2534,kids_rich_2534
,1990,,,0.910811685,0.918235978,3544,,,0.880949458,,,,,,,,,,,0.823273206,0.915704879,0.956691578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.731988088,,,,,0.815374973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,,0.862316584,0.881575919,3544,,,0.86070107,,,,,,,,,,,0.751716376,0.886247454,0.941320788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.691614807,,,,,0.762593735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001,,,0.859349955,0.87873165,3544,,,0.860899502,,,,,,,,,,,0.74136995,0.880332616,0.951976582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.671793865,,,,,0.764253169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002,,,0.856481062,0.875224592,3544,,,0.854824137,,,,,,,,,,,0.738012061,0.879405119,0.945325627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.665420923,,,,,0.750088043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,,,0.849173806,0.874068238,3544,,,0.861925637,,,,,,,,,,,0.729645256,0.877376973,0.949295357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.674065343,,,,,0.743524009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,,,0.845591974,0.870735132,3544,,,0.863985165,,,,,,,,,,,0.722446012,0.87882377,0.951147105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.659934444,,,,,0.744308043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,,,0.839031603,0.864282743,3544,,,0.860414882,,,,,,,,,,,0.716518991,0.87002833,0.951086896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.646314298,,,,,0.730533615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,,,0.815745969,0.852880586,3544,,,0.844799117,,,,,,,,,,,0.699628833,0.856351317,0.92572192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.619846519,,,,,0.699744761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,,,0.809741014,0.846043856,3544,,,0.848366322,,,,,,,,,,,0.695910908,0.853278887,0.923715528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.603368085,,,,,0.683972812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,,,0.80282284,0.841797292,3544,,,0.847964255,,,,,,,,,,,0.692689072,0.846409195,0.925308384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.597382531,,,,,0.674567793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,,,0.792196681,0.835215074,3544,,,0.850058281,,,,,,,,,,,0.680657903,0.845727391,0.920417185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.572339714,,,,,0.648338938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,,,0.784299068,0.832339934,3544,,,0.848095101,,,,,,,,,,,0.674206308,0.838352401,0.925673994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.567811675,,,,,0.634053381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,,,0.775140223,0.82418018,3544,,,0.840921923,,,,,,,,,,,0.667815524,0.831994081,0.923842306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.551932675,,,,,0.618569598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,0.771605931,0.818104541,3544,,,0.842956928,,,,,,,,,,,0.659523607,0.830994181,0.92225559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.539428181,,,,,0.607931748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,,,0.939492637,0.900496929,4554,,,0.715376065,,,,,,,,,,,0.913615042,0.939183251,0.924570502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.522415622,,,,,0.775359833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1970,,,0.95048662,0.939261889,4554,,,0.808430324,,,,,,,,,,,0.913502806,0.956428056,0.954018954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.604349645,,,,,0.775218308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1980,,,0.959000361,0.954954955,4554,,,0.867455665,,,,,,,,,,,0.91821516,0.962191554,0.973140846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.629106742,,,,,0.755031791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,,,0.950214626,0.957609746,4554,,,0.935260243,,,,,,,,,,,0.902260154,0.952355984,0.976072048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.604918982,,,,,0.759591383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,,0.922325761,0.933737054,4554,,,0.910878783,,,,,,,,,,,0.853691917,0.929262181,0.969450848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.603268256,,,,,0.718026821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001,,,0.920309337,0.9290069,4554,,,0.908453663,,,,,,,,,,,0.843922813,0.925740109,0.97585402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.588923246,,,,,0.739546611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002,,,0.917914556,0.927594008,4554,,,0.906933466,,,,,,,,,,,0.844986684,0.921072908,0.973121653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.595518302,,,,,0.721125819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,,,0.911847747,0.920824991,4554,,,0.902607535,,,,,,,,,,,0.831283106,0.919483168,0.971812681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.589034058,,,,,0.714616352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,,,0.90474205,0.918036793,4554,,,0.902758285,,,,,,,,,,,0.821699842,0.915881933,0.972788794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.589610238,,,,,0.71949271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,,,0.901691695,0.915035087,4554,,,0.896372553,,,,,,,,,,,0.812961872,0.912173474,0.971846072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.576399742,,,,,0.719785873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,,,0.885958918,0.912164217,4554,,,0.889228081,,,,,,,,,,,0.804744783,0.90779503,0.953963972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.557797295,,,,,0.689716793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,,,0.884722229,0.904245412,4554,,,0.892782838,,,,,,,,,,,0.798589935,0.90597518,0.954811385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.548907126,,,,,0.679216229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,,,0.873704279,0.900218691,4554,,,0.887911224,,,,,,,,,,,0.786320627,0.901431346,0.950565253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.550487171,,,,,0.695958819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,,,0.87325092,0.896955845,4554,,,0.885647452,,,,,,,,,,,0.78578405,0.89854841,0.949313935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.527214839,,,,,0.658948048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,,,0.868277287,0.889773491,4554,,,0.886228526,,,,,,,,,,,0.778383042,0.893425403,0.949870481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.528067438,,,,,0.648370903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,,,0.863843503,0.888666838,4554,,,0.886141931,,,,,,,,,,,0.775082176,0.890892845,0.949998251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.509487519,,,,,0.640469725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,0.861290494,0.889640235,4554,,,0.888884251,,,,,,,,,,,0.775652947,0.889902323,0.951348198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.503925747,,,,,0.629297595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
