,sex,Ideal_Marriage_Age
1592,2,25.0
1593,2,33.0
1595,2,26.0
1601,2,27.0
1607,2,25.0
1613,2,27.0
1625,2,20.0
1627,2,29.0
1629,2,25.0
1631,2,27.0
1635,2,30.0
1636,2,25.0
1646,2,25.0
1651,2,25.0
1654,2,25.0
1667,2,40.0
1672,2,25.0
1673,2,25.0
1675,2,25.0
1678,2,28.0
1680,2,35.0
1682,2,24.0
1684,2,25.0
1685,2,26.0
1689,2,30.0
1696,2,25.0
1700,2,25.0
1706,2,40.0
1709,2,25.0
1711,2,30.0
1713,2,26.0
1722,2,30.0
1726,2,20.0
1727,2,30.0
1729,2,28.0
1733,2,27.0
1740,2,30.0
1744,2,26.0
1745,2,45.0
1748,2,30.0
1752,2,21.0
1754,2,30.0
1756,2,25.0
1759,2,25.0
1761,2,35.0
1766,2,28.0
1768,2,30.0
1769,2,25.0
1772,2,20.0
1776,2,22.0
1781,2,23.0
1783,2,25.0
1784,2,27.0
1786,2,22.0
1788,2,28.0
1790,2,25.0
1792,2,26.0
1803,2,18.0
1805,2,28.0
1809,2,29.0
1811,2,18.0
1812,2,35.0
1814,2,19.0
1817,2,29.0
1822,2,20.0
1824,2,25.0
1825,2,28.0
1826,2,21.0
1830,2,30.0
1831,2,24.0
1834,2,25.0
1838,2,21.0
1843,2,19.0
1850,2,25.0
1851,2,28.0
1852,2,22.0
1862,2,30.0
1869,2,25.0
1874,2,25.0
1876,2,25.0
1878,2,25.0
1891,2,25.0
1893,2,26.0
1894,2,25.0
1899,2,18.0
1900,2,30.0
1902,2,25.0
1910,2,26.0
1913,2,25.0
1919,2,24.0
1920,2,23.0
1922,2,21.0
1936,2,25.0
1937,2,21.0
1940,2,18.0
1942,2,28.0
1946,2,20.0
1947,2,25.0
1954,2,24.0
1957,2,25.0
1961,2,25.0
1963,2,25.0
1964,2,23.0
1970,2,20.0
1973,2,20.0
1976,2,23.0
1980,2,24.0
1984,2,25.0
1988,2,28.0
1990,2,27.0
1999,2,25.0
2007,2,25.0
2009,2,20.0
2012,2,30.0
2014,2,25.0
2019,2,25.0
