,NE,MW,S,W,year
7,51.5,53.4,52.8,51.3,2009
6,51.4,53.3,52.5,51.3,2010
5,50.9,52.8,52.0,50.8,2011
4,50.3,52.3,51.4,50.2,2012
3,49.9,51.8,50.8,49.8,2013
2,49.5,51.4,50.4,49.4,2014
1,49.3,51.1,50.1,49.2,2015
0,49.1,50.8,50.0,49.2,2016
